,Venue id,Rating
274,4ad69511f964a520e40721e3,8.3
275,50ecb1fae4b0beb13294f0aa,8.3
276,595e825350a6f05c631431b0,7.4
277,4ad4c060f964a5207cf720e3,7.9
278,4b0f3cd2f964a520b66023e3,8.2
279,50468014e4b01c18bb731df8,8.0
280,5aff06ca6e4650002cc6286b,8.3
281,5214e7c111d2a83379eae21f,8.3
282,50bd1248e4b0382138bdd292,7.2
283,4d5effa95b276dcbc3b201c6,8.2
284,4e048b98315168be7fd7ee4d,7.8
285,4d3997e1687ca35dbd0081c4,7.7
286,506a3830e4b0677a1f9d8eda,7.6
287,4ba90db8f964a5203f073ae3,7.4
288,5a6bad222632ec473853718a,7.5
